CustomerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,SeniorCitizen,Churn
ID_0,56,105.60115133196648,2988.4996288463326,One year,DSL,Bank transfer,No,0,No
ID_1,10,45.750477517792824,853.10488152009,Two year,Fiber optic,Mailed check,Yes,0,No
ID_2,33,57.80796138674081,7839.213635462957,One year,No,Mailed check,No,0,No
ID_3,36,45.957171911459014,4516.758296648037,One year,No,Bank transfer,Yes,1,No
ID_4,70,104.40547600776867,500.08087566041087,One year,Fiber optic,Bank transfer,Yes,0,No
ID_5,70,30.668663879519457,3633.402275415078,One year,No,Electronic check,Yes,0,No
ID_6,37,102.86006452379685,4401.838794872596,Two year,DSL,Electronic check,No,0,Yes
ID_7,41,90.55278151554562,1251.7406403634602,One year,Fiber optic,Bank transfer,Yes,0,No
ID_8,56,78.90442943088061,1722.826692686434,Two year,Fiber optic,Electronic check,No,1,No
ID_9,31,98.12498341262389,7957.502658913148,Two year,No,Mailed check,No,1,No
ID_10,32,43.79713086275454,5262.932300310085,Month-to-month,DSL,Credit card,No,0,No
ID_11,13,36.48344047893865,2667.2240427049283,Month-to-month,DSL,Mailed check,Yes,0,No
ID_12,11,59.69386185350545,5940.8012903757235,Two year,No,Mailed check,Yes,0,No
ID_13,58,21.584937232629425,4760.295511737225,Month-to-month,No,Mailed check,No,0,No
ID_14,34,110.74035673704637,4738.977383401847,Two year,Fiber optic,Mailed check,Yes,1,No
ID_15,42,31.57374350075967,1865.9275130964713,Month-to-month,DSL,Mailed check,Yes,1,No
ID_16,27,70.69675076977121,6915.1776913104995,Two year,Fiber optic,Bank transfer,Yes,0,No
ID_17,1,84.14535047935044,589.3634429186473,Two year,DSL,Credit card,No,1,No
ID_18,37,119.29295644186769,1595.1124573377458,Month-to-month,DSL,Electronic check,No,1,No
ID_19,66,85.9534024501637,6921.297382747668,Two year,Fiber optic,Mailed check,No,1,Yes
ID_20,43,59.28302901401277,1953.3431645377918,One year,Fiber optic,Bank transfer,No,0,Yes
ID_21,4,101.13972642888334,6470.225484155462,Month-to-month,Fiber optic,Bank transfer,No,1,Yes
ID_22,33,26.96599132105883,7267.203794313689,Two year,No,Mailed check,Yes,0,Yes
ID_23,7,81.54419524146334,655.6735417559103,Month-to-month,Fiber optic,Bank transfer,Yes,1,No
ID_24,4,84.0703366667991,4071.48445314643,One year,No,Bank transfer,Yes,0,Yes
ID_25,61,84.05373132467558,2022.1273975211934,Two year,Fiber optic,Mailed check,No,1,No
ID_26,71,85.88124774458596,4586.929430585692,Month-to-month,Fiber optic,Mailed check,No,1,No
ID_27,68,60.85077364819782,7847.506195512987,Month-to-month,Fiber optic,Bank transfer,Yes,1,Yes
ID_28,53,20.518825722481154,6784.992365321886,Month-to-month,DSL,Bank transfer,Yes,0,No
ID_29,36,112.25653332043679,6358.794156896522,One year,No,Mailed check,Yes,1,No
ID_30,32,118.05687312785221,5996.851820458197,One year,Fiber optic,Credit card,Yes,1,Yes
ID_31,7,70.59453196098178,1465.9184167208937,Two year,Fiber optic,Mailed check,Yes,1,No
ID_32,41,49.027340979837575,7533.823426629702,Month-to-month,Fiber optic,Bank transfer,Yes,0,No
ID_33,41,47.76287418373539,2295.9227190992615,Two year,Fiber optic,Bank transfer,No,1,No
ID_34,62,50.028793390230945,6089.249773876892,Month-to-month,No,Electronic check,No,0,Yes
ID_35,26,112.17074263169572,7875.051556358079,Two year,No,Mailed check,No,0,Yes
ID_36,26,59.71023680174262,7615.787419067729,One year,DSL,Credit card,Yes,1,No
ID_37,25,104.98461775233608,7704.907224909196,One year,Fiber optic,Mailed check,Yes,0,No
ID_38,13,110.24022135090216,2997.8277539361216,One year,No,Credit card,No,1,No
ID_39,71,65.36064881067236,2631.385320025197,Month-to-month,No,Bank transfer,No,1,No
ID_40,34,50.55390116070124,5450.733691640238,One year,Fiber optic,Credit card,No,0,No
ID_41,12,40.35523614112537,5552.868675394887,Two year,Fiber optic,Mailed check,No,0,No
ID_42,23,52.14963880038735,5603.217171068343,One year,DSL,Credit card,Yes,0,Yes
ID_43,69,76.63327270953938,7970.0261158113835,Two year,DSL,Bank transfer,No,1,Yes
ID_44,16,29.26954072380012,2104.377521738951,Two year,Fiber optic,Mailed check,Yes,0,No
ID_45,6,61.68517000395847,7587.132534890245,Month-to-month,No,Mailed check,Yes,0,No
ID_46,38,70.32953306442354,3696.8413695855775,Month-to-month,DSL,Electronic check,Yes,1,No
ID_47,31,102.26336832177445,873.8566347131593,Two year,DSL,Bank transfer,No,1,No
ID_48,3,62.50644939153958,2925.1419515549314,One year,No,Credit card,Yes,0,No
ID_49,69,82.99831657249543,1169.3710482561683,Month-to-month,No,Credit card,Yes,0,Yes
ID_50,39,115.90025352251105,7185.002780288194,Two year,DSL,Mailed check,No,0,Yes
ID_51,45,72.77329270603022,2239.42983083836,One year,No,Electronic check,Yes,0,Yes
ID_52,1,32.33349390514762,482.3825174602516,One year,Fiber optic,Credit card,Yes,1,No
ID_53,16,90.47136753513342,1599.0274727841454,Two year,DSL,Electronic check,No,0,No
ID_54,71,66.94432350068882,4159.333082869266,Month-to-month,DSL,Mailed check,Yes,1,No
ID_55,15,102.99917144985314,4196.753283539308,Month-to-month,No,Bank transfer,Yes,0,No
ID_56,28,39.36165265516969,1489.7663204131309,Two year,No,Credit card,No,1,Yes
ID_57,59,83.95699298257125,3028.262557620415,One year,DSL,Electronic check,No,0,No
ID_58,17,29.433706402579844,1848.4702402376845,Month-to-month,Fiber optic,Credit card,No,0,No
ID_59,66,60.875888094173575,250.61307164527148,Two year,Fiber optic,Bank transfer,Yes,1,No
ID_60,21,114.8678855417527,6094.783365303815,Two year,Fiber optic,Mailed check,No,0,Yes
ID_61,25,61.13142103033513,3632.1065420926006,One year,Fiber optic,Credit card,No,1,Yes
ID_62,60,113.49531235506046,4796.617814082948,One year,DSL,Electronic check,Yes,0,No
ID_63,68,74.88842201781554,7052.803955957136,Month-to-month,No,Credit card,Yes,1,No
ID_64,28,25.581442408718395,7088.309655933603,One year,Fiber optic,Mailed check,Yes,0,No
ID_65,57,108.81417390100741,6371.686864324135,Month-to-month,No,Electronic check,Yes,1,No
ID_66,16,24.668912888537424,5035.0835212593865,One year,Fiber optic,Mailed check,Yes,1,No
ID_67,20,26.71576532252719,5964.642994889931,Two year,No,Mailed check,Yes,0,No
ID_68,65,119.7464304283533,1952.5243935495173,Two year,No,Bank transfer,No,0,Yes
ID_69,54,54.906073647094956,5800.4584828419665,One year,No,Bank transfer,Yes,0,No
ID_70,18,80.78487435544136,1301.7112630986264,Month-to-month,No,Mailed check,Yes,0,Yes
ID_71,68,64.02488138246281,7778.62222584841,Two year,No,Bank transfer,Yes,1,No
ID_72,60,97.64146757294169,859.8491079952134,Month-to-month,No,Electronic check,Yes,1,No
ID_73,58,26.618617552322057,1638.45992800961,One year,Fiber optic,Electronic check,No,0,No
ID_74,52,90.64797162642438,7511.652143802299,One year,No,Electronic check,Yes,0,No
ID_75,63,42.11697421711749,3867.3837468485726,Two year,DSL,Credit card,No,1,Yes
ID_76,29,32.15617859460413,3885.8446561916335,Two year,No,Credit card,No,0,No
ID_77,5,31.805727945475887,7828.25942670084,Month-to-month,DSL,Electronic check,No,0,No
ID_78,41,52.029853966334976,7817.224666916519,Two year,DSL,Credit card,No,1,No
ID_79,18,53.01809321974213,344.1702493704188,One year,Fiber optic,Mailed check,No,0,Yes
ID_80,36,50.4546546938786,6360.398535630223,One year,Fiber optic,Mailed check,Yes,0,No
ID_81,25,44.49895091202576,2688.7525998136534,Month-to-month,DSL,Credit card,Yes,1,Yes
ID_82,17,62.5202644322601,3904.130031347504,Month-to-month,No,Mailed check,Yes,1,Yes
ID_83,40,28.225784557178173,3209.292825014004,Two year,Fiber optic,Credit card,Yes,1,No
ID_84,44,46.61607335902819,505.7620917387874,Month-to-month,DSL,Mailed check,No,0,Yes
ID_85,11,117.34762507290836,2244.3617248945557,One year,No,Mailed check,No,1,Yes
ID_86,36,76.8924279775581,7346.439249371762,Two year,DSL,Mailed check,No,1,Yes
ID_87,6,67.41359722516108,2994.2586898322847,Two year,Fiber optic,Credit card,Yes,0,Yes
ID_88,23,87.44713226764773,2096.315735497603,Month-to-month,No,Electronic check,Yes,0,Yes
ID_89,3,72.33945579618192,5334.412191424232,Two year,No,Mailed check,Yes,1,No
ID_90,42,87.77454350310408,5857.209102592759,Two year,Fiber optic,Credit card,No,1,No
ID_91,39,93.71805523334196,6223.667580291542,Two year,No,Credit card,No,1,No
ID_92,61,76.02327787301954,3863.022111643093,Two year,DSL,Electronic check,Yes,1,No
ID_93,23,97.1354486783313,5863.353442474901,Month-to-month,Fiber optic,Mailed check,No,0,No
ID_94,63,102.97685373131871,4922.789087967954,Month-to-month,No,Electronic check,No,0,No
ID_95,26,93.88706713935117,1260.50970613908,Month-to-month,Fiber optic,Mailed check,Yes,1,No
ID_96,26,70.15897126716284,6242.982672105256,Month-to-month,No,Bank transfer,No,0,Yes
ID_97,33,25.012094685084122,3748.657463053574,Two year,Fiber optic,Credit card,No,1,No
ID_98,3,34.92163615383916,3355.5059323315104,Two year,DSL,Credit card,Yes,1,Yes
ID_99,28,52.33505462723342,4975.6637515509965,One year,No,Bank transfer,No,0,No
ID_100,66,117.96632289259003,979.3801082684053,Two year,Fiber optic,Bank transfer,Yes,1,No
ID_101,2,117.12385889078296,4825.427378983235,Two year,No,Bank transfer,No,0,Yes
ID_102,4,77.39114121201135,2234.756849596171,Two year,Fiber optic,Electronic check,Yes,0,No
ID_103,21,39.93505517023271,6757.774168674271,One year,Fiber optic,Bank transfer,Yes,1,No
ID_104,6,62.49204090998311,4576.510086040618,One year,DSL,Electronic check,No,1,No
ID_105,63,22.90192207865759,5668.905640666277,One year,No,Electronic check,Yes,0,Yes
ID_106,44,77.09391894227161,2934.881323764111,One year,No,Credit card,No,0,No
ID_107,48,37.96263297264885,3846.346673920004,Month-to-month,Fiber optic,Bank transfer,Yes,1,Yes
ID_108,57,31.84665412298468,3620.1156074622772,Month-to-month,Fiber optic,Mailed check,Yes,0,No
ID_109,57,21.80706837021638,5070.993836179534,Month-to-month,No,Credit card,Yes,0,No
ID_110,18,96.73382757006222,347.19171344060726,Two year,Fiber optic,Mailed check,Yes,0,No
ID_111,41,22.442534714021537,5550.663096270828,Month-to-month,Fiber optic,Electronic check,Yes,1,No
ID_112,41,41.772458279064224,4946.35516414594,One year,DSL,Bank transfer,Yes,1,No
ID_113,7,37.64338287481597,3299.0141050635602,Two year,DSL,Credit card,No,0,No
ID_114,38,39.87915797886019,5283.549416133639,One year,DSL,Mailed check,No,0,No
ID_115,55,101.41719436626889,7683.6557923893915,Two year,Fiber optic,Bank transfer,Yes,0,No
ID_116,42,64.28363013945875,4897.047443407406,Two year,Fiber optic,Electronic check,Yes,1,Yes
ID_117,24,107.28414038290131,2954.513049894947,Two year,DSL,Credit card,No,0,No
ID_118,60,40.962433941696766,2660.0017730047584,Two year,DSL,Bank transfer,No,0,No
ID_119,28,24.48982067553927,5909.101858794042,Month-to-month,No,Electronic check,Yes,0,Yes
ID_120,32,47.140386322956914,3062.486340443396,Month-to-month,DSL,Mailed check,No,0,No
ID_121,22,108.07244498216009,2012.672794911835,Month-to-month,DSL,Credit card,Yes,1,No
ID_122,4,26.03702933835808,5122.68735378921,Two year,Fiber optic,Credit card,No,1,No
ID_123,29,56.989630491049674,4287.49095309227,Month-to-month,No,Mailed check,No,0,Yes
ID_124,2,35.62621787366554,1890.6783946439552,Month-to-month,Fiber optic,Electronic check,No,1,Yes
ID_125,8,115.92033749131402,4529.87020143429,Two year,Fiber optic,Credit card,Yes,0,No
ID_126,44,84.99838812524486,648.2547689226299,Month-to-month,DSL,Bank transfer,Yes,0,No
ID_127,50,82.35239546437256,6584.479660570684,One year,Fiber optic,Credit card,Yes,0,No
ID_128,65,111.46194888304946,219.61714028279118,One year,No,Credit card,No,0,No
ID_129,64,109.41776507565466,7414.409077612294,One year,No,Electronic check,Yes,0,No
ID_130,34,112.05326820376449,272.5759981245559,Two year,DSL,Mailed check,No,0,No
ID_131,13,31.861108373190042,4059.362014339022,One year,No,Electronic check,No,0,Yes
ID_132,60,58.700141664877904,1121.8785994367988,Month-to-month,Fiber optic,Mailed check,No,1,No
ID_133,59,20.452060426527602,5495.13587434537,Month-to-month,No,Bank transfer,Yes,0,Yes
ID_134,18,105.04279778123632,4174.603549661567,Month-to-month,DSL,Electronic check,Yes,1,No
ID_135,6,43.89232167493398,7787.052432717632,One year,Fiber optic,Credit card,No,1,No
ID_136,54,61.022106148483886,288.8963443950731,One year,No,Electronic check,No,0,No
ID_137,24,59.79635584204083,6035.656564271549,Month-to-month,No,Credit card,Yes,0,Yes
ID_138,3,23.986477211569937,3980.9198300893354,Month-to-month,Fiber optic,Mailed check,No,1,No
ID_139,49,66.65712472069951,5563.50400047548,One year,DSL,Bank transfer,No,0,Yes
ID_140,23,68.44516141602602,3745.302285813209,One year,No,Mailed check,Yes,0,Yes
ID_141,20,54.70266997742074,4376.527505689765,One year,Fiber optic,Electronic check,Yes,0,Yes
ID_142,3,25.064027268394845,133.4737938590719,Month-to-month,DSL,Credit card,No,0,No
ID_143,13,109.21059302396614,5458.572982665432,Two year,No,Credit card,Yes,0,No
ID_144,23,20.37801213552037,6613.156353225266,Two year,No,Credit card,Yes,1,No
ID_145,40,55.284028544626146,7959.832038135272,Two year,No,Mailed check,No,0,No
ID_146,16,102.33769024919819,975.7370680994629,Month-to-month,No,Bank transfer,No,1,No
ID_147,34,60.36354558550731,6183.334763873875,One year,No,Electronic check,No,0,No
ID_148,54,64.9568545798484,1748.756833525801,Month-to-month,DSL,Mailed check,No,1,Yes
ID_149,20,61.717913156258355,1224.4329052451637,Month-to-month,No,Electronic check,No,0,Yes
ID_150,26,99.87081630965255,1386.8842771607854,One year,Fiber optic,Credit card,Yes,0,Yes
ID_151,44,104.46526086280114,2814.8264665225324,One year,DSL,Electronic check,Yes,1,No
ID_152,9,41.61999505749958,1515.560693232745,One year,No,Bank transfer,Yes,0,No
ID_153,66,102.2837834033198,435.68516460405186,Two year,DSL,Electronic check,Yes,1,No
ID_154,39,80.21388588370131,3454.495127518378,Two year,DSL,Electronic check,No,1,No
ID_155,70,106.25946248052861,7409.4881277065515,Two year,DSL,Bank transfer,Yes,1,No
ID_156,63,71.70897432852024,1203.1337697802687,One year,No,Credit card,No,1,Yes
ID_157,1,38.78599665579068,3894.6226448428647,Two year,DSL,Bank transfer,No,0,Yes
ID_158,24,99.96793469285602,490.69806429146655,Month-to-month,DSL,Credit card,Yes,0,Yes
ID_159,21,91.7791962272981,3421.841933732056,One year,Fiber optic,Mailed check,Yes,0,No
ID_160,27,117.13387558317088,5971.2746528862,One year,DSL,Electronic check,No,0,No
ID_161,43,27.870852476302858,3844.1763110256716,Two year,No,Bank transfer,No,0,Yes
ID_162,46,78.08322179072773,796.9347548417607,Two year,DSL,Bank transfer,Yes,1,No
ID_163,41,107.42903463869037,901.7648573158884,One year,No,Electronic check,Yes,0,No
ID_164,61,84.21866208754962,4049.407749604706,Month-to-month,DSL,Electronic check,No,1,No
ID_165,13,119.34567878026765,1511.4187049402958,Month-to-month,Fiber optic,Mailed check,No,1,No
ID_166,2,76.47063265391358,6560.5595403218385,Month-to-month,Fiber optic,Mailed check,No,0,No
ID_167,3,88.35649541310282,2363.1922564150304,One year,No,Electronic check,Yes,0,Yes
ID_168,43,43.31012241461569,4432.103540705233,Two year,DSL,Credit card,No,0,No
ID_169,32,118.4287257412227,5458.736592718307,Month-to-month,DSL,Mailed check,No,0,Yes
ID_170,41,71.67746425045833,3476.4454349403813,One year,Fiber optic,Bank transfer,Yes,1,No
ID_171,69,47.33314593623696,6819.893564790696,Two year,DSL,Electronic check,Yes,1,No
ID_172,36,111.5829708467738,4258.053057258174,Month-to-month,Fiber optic,Bank transfer,No,0,No
ID_173,33,36.786755496766744,3337.079130902172,One year,Fiber optic,Electronic check,Yes,1,Yes
ID_174,45,80.18526964806809,6460.000801494114,One year,No,Electronic check,Yes,0,Yes
ID_175,48,76.40899629127088,2067.311060812598,Month-to-month,DSL,Credit card,No,1,No
ID_176,58,119.14245042423093,7104.239641538813,One year,No,Mailed check,No,0,No
ID_177,16,49.537329979050796,2484.080309472999,Two year,DSL,Mailed check,Yes,0,No
ID_178,12,29.497720104212824,2680.4432582615937,Two year,Fiber optic,Mailed check,No,0,No
ID_179,20,99.42213341270083,2446.088261747525,One year,No,Electronic check,Yes,0,No
ID_180,9,20.725752261871015,1754.5987434069955,Month-to-month,No,Bank transfer,No,1,No
ID_181,14,87.71133597526416,4238.098170732918,Month-to-month,No,Electronic check,No,0,No
ID_182,44,67.48164163102638,5191.5872078656885,One year,DSL,Electronic check,No,1,No
ID_183,48,49.868264378763556,6077.714039135336,One year,DSL,Mailed check,Yes,1,No
ID_184,33,111.71089867207336,3032.401044464443,Two year,DSL,Electronic check,Yes,1,Yes
ID_185,37,21.5380000741117,1496.4944675647973,Month-to-month,DSL,Credit card,Yes,1,Yes
ID_186,6,70.06439796665866,722.8413054704122,Two year,Fiber optic,Mailed check,No,1,No
ID_187,67,105.80642984863869,5075.556877929835,Month-to-month,DSL,Mailed check,Yes,1,Yes
ID_188,15,101.30683458932397,3775.821468346604,Month-to-month,No,Credit card,Yes,0,No
ID_189,21,20.757527891571087,2025.2743437918389,Month-to-month,Fiber optic,Mailed check,Yes,0,No
ID_190,22,52.04606495493246,1732.9502178831474,One year,DSL,Bank transfer,No,0,No
ID_191,12,91.06776613939094,2172.2580782752175,One year,Fiber optic,Credit card,No,0,No
ID_192,15,78.75892868574061,2998.954692650628,One year,Fiber optic,Credit card,No,0,No
ID_193,55,96.07620015561187,438.8692128478032,Two year,DSL,Bank transfer,No,1,No
ID_194,17,79.7668005010558,156.94733479040707,Two year,DSL,Credit card,No,1,No
ID_195,60,64.55675444859611,1977.4596607170497,Month-to-month,DSL,Bank transfer,No,1,No
ID_196,5,47.08141486329572,2130.7473767083666,One year,Fiber optic,Mailed check,Yes,0,No
ID_197,53,77.4732312927885,1100.9654169388168,One year,DSL,Mailed check,Yes,0,No
ID_198,7,38.824056210277696,5630.828225686078,Two year,DSL,Mailed check,Yes,1,No
ID_199,25,45.086998055848156,6981.399545010038,One year,Fiber optic,Mailed check,Yes,0,No
ID_200,29,30.294958947587972,5847.313327559136,One year,No,Mailed check,Yes,0,Yes
ID_201,12,50.55930479403214,3902.37272380997,Two year,No,Electronic check,Yes,0,No
ID_202,59,111.94697438437176,4773.495336067514,Two year,DSL,Electronic check,Yes,0,Yes
ID_203,36,109.25645810635288,4702.152988308174,Month-to-month,Fiber optic,Mailed check,No,0,Yes
ID_204,18,115.35550464259394,1815.1559265562573,One year,Fiber optic,Mailed check,No,0,No
ID_205,30,97.4793743958085,854.4143493517444,One year,DSL,Bank transfer,No,0,Yes
ID_206,42,89.03543925236228,2690.1042309399872,Month-to-month,Fiber optic,Credit card,Yes,0,No
ID_207,56,114.03248973451198,2945.82200253493,Month-to-month,DSL,Electronic check,No,0,No
ID_208,18,20.65401531522641,7177.094381999609,Month-to-month,Fiber optic,Electronic check,Yes,0,No
ID_209,70,83.64143636282371,2327.469573631512,One year,No,Credit card,Yes,0,No
ID_210,2,91.59427549036579,258.5674743952369,Month-to-month,No,Mailed check,No,0,Yes
ID_211,16,29.430122018098952,2183.9565939066483,One year,Fiber optic,Mailed check,No,0,Yes
ID_212,9,113.07876247297607,6682.209012005352,Month-to-month,Fiber optic,Credit card,No,0,No
ID_213,35,67.00604979261726,7392.342854969634,Two year,Fiber optic,Mailed check,No,0,No
ID_214,16,81.7663004852156,3614.318176416222,Two year,DSL,Bank transfer,Yes,1,No
ID_215,31,53.993473412232056,3119.1495093453677,Two year,DSL,Electronic check,No,1,Yes
ID_216,30,52.735304714301236,382.2542114262189,Month-to-month,Fiber optic,Electronic check,Yes,0,No
ID_217,3,76.2718418053496,4814.583257482989,One year,No,Electronic check,No,1,No
ID_218,3,96.75428917025016,6275.487538356484,Two year,Fiber optic,Bank transfer,No,1,No
ID_219,5,84.93461959825993,1903.6481498571118,Month-to-month,No,Bank transfer,Yes,0,Yes
ID_220,19,117.4641521814221,279.1201363799552,One year,Fiber optic,Mailed check,No,1,No
ID_221,54,33.257332506759965,3734.387046111852,Month-to-month,DSL,Electronic check,Yes,0,Yes
ID_222,44,68.26831338086323,2590.0482606250107,Month-to-month,No,Electronic check,Yes,1,Yes
ID_223,12,25.509883457309773,2005.059973917377,Two year,No,Credit card,No,1,No
ID_224,41,37.99501592212549,962.8708485388084,Two year,DSL,Electronic check,Yes,1,No
ID_225,9,107.23529688223553,3247.5013438252877,Two year,Fiber optic,Electronic check,Yes,0,No
ID_226,60,26.26786442790189,7270.396031018513,Month-to-month,DSL,Credit card,No,1,Yes
ID_227,19,84.22088582196453,1824.7889733699312,Two year,DSL,Electronic check,Yes,1,No
ID_228,30,84.13281326032985,6648.064455667564,One year,DSL,Electronic check,No,1,Yes
ID_229,67,106.50379829173072,7777.656391027794,Two year,DSL,Credit card,No,0,No
ID_230,29,20.880135578286833,2414.8998203482365,Month-to-month,Fiber optic,Mailed check,No,0,Yes
ID_231,43,66.48990491887908,1645.5961046494015,Two year,Fiber optic,Credit card,No,1,No
ID_232,22,48.719914115291914,6610.968454377222,Two year,DSL,Mailed check,Yes,0,No
ID_233,64,73.70708688871912,3840.195933991365,One year,Fiber optic,Bank transfer,Yes,1,No
ID_234,48,87.88936726535587,1077.8109301447469,One year,DSL,Electronic check,No,1,No
ID_235,6,43.316515264059134,283.81187782223003,Month-to-month,DSL,Mailed check,No,1,Yes
ID_236,31,104.38633407265009,2078.500502665366,Two year,No,Mailed check,Yes,1,Yes
ID_237,30,61.12721688007495,832.5440870857125,One year,No,Electronic check,Yes,0,No
ID_238,63,84.89851705636495,1827.4476823580299,Month-to-month,Fiber optic,Credit card,No,0,Yes
ID_239,61,27.996080120395355,289.68623406896444,Month-to-month,Fiber optic,Credit card,No,0,Yes
ID_240,54,57.95576740537862,7520.293641247525,One year,No,Bank transfer,No,1,Yes
ID_241,13,69.71909793541685,3295.0567223745757,Two year,DSL,Bank transfer,No,1,No
ID_242,55,77.89171668426424,2609.44410249487,One year,DSL,Electronic check,Yes,0,No
ID_243,17,91.65170030012457,7671.29660904651,Two year,Fiber optic,Credit card,Yes,0,No
ID_244,16,117.74727965905583,1126.9716408914321,One year,Fiber optic,Electronic check,No,1,No
